Restaurant_URL,Number_reviews_Unsanitary,last_4_months_Number_reviews_Unsanitary,last_4_months_Number_Of_reviews,last_4_months_AVG_NLP_Ranking_System,AVG_RankingSystem,Total_Number_Of_Reviews,AVG_RankingSystem_improvement,ImprovingNLPrating,Last_4_Months_Percentage_Unsanitary,Last_4_Months_Percentile_Unsanitary,All_Percentage_Unsanitary,All_Percentile_Unsanitary,Cause_For_Concern_Dropping_Health_Standards
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19527481-Reviews-Jimmy_s_Liverpool-Liverpool_Merseyside_England.html,1,0,2,3.67,4.2,188,-0.5300000000000002,False,0.0,53.300000000000004,0.53,17.65,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19642539-Reviews-Potts_Coffee-Liverpool_Merseyside_England.html,1,0,2,3.67,4.22,78,-0.5499999999999998,False,0.0,53.300000000000004,1.28,3.27,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1973175-Reviews-Bem_Brasil-Liverpool_Merseyside_England.html,2,0,12,4.11,4.02,200,0.09000000000000075,True,0.0,53.300000000000004,1.0,6.21,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d21290591-Reviews-Lerpwl-Liverpool_Merseyside_England.html,3,0,17,4.29,4.15,136,0.13999999999999968,True,0.0,53.300000000000004,2.21,0.65,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2266655-Reviews-EastzEast-Liverpool_Merseyside_England.html,1,0,11,3.36,4.15,200,-0.7900000000000005,False,0.0,53.300000000000004,0.5,20.26,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d23584244-Reviews-Rudy_s_Neapolitan_Pizza_Bold_Street-Liverpool_Merseyside_England.html,1,1,59,3.87,4.06,207,-0.1899999999999995,False,1.69,5.0,0.48,22.220000000000002,True
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2436069-Reviews-Flanagans_Apple-Liverpool_Merseyside_England.html,1,0,98,3.93,3.79,532,0.14000000000000012,True,0.0,53.300000000000004,0.19,37.91,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2485452-Reviews-Shiraz_BBQ-Liverpool_Merseyside_England.html,1,0,9,4.33,4.12,200,0.20999999999999996,True,0.0,53.300000000000004,0.5,20.26,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2528182-Reviews-Paolo_Donato_s_Deli-Liverpool_Merseyside_England.html,1,0,12,4.78,4.05,280,0.7300000000000004,True,0.0,53.300000000000004,0.36,26.8,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2540768-Reviews-Big_Bowl_Noodle_Bar-Liverpool_Merseyside_England.html,1,0,32,3.0,3.83,588,-0.8300000000000001,False,0.0,53.300000000000004,0.17,41.18,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2715507-Reviews-Rococo_Coffee_House-Liverpool_Merseyside_England.html,1,0,30,3.56,3.84,856,-0.2799999999999998,False,0.0,53.300000000000004,0.12,43.79,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d3603132-Reviews-Brasco_Lounge-Liverpool_Merseyside_England.html,2,0,18,3.44,3.77,800,-0.33000000000000007,False,0.0,53.300000000000004,0.25,31.7,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d3676353-Reviews-Bold_Street_Coffee-Liverpool_Merseyside_England.html,2,2,18,3.0,3.86,445,-0.8599999999999999,False,11.11,2.5,0.45,24.18,True
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d4893772-Reviews-OH_ME_OH_MY-Liverpool_Merseyside_England.html,1,0,3,4.11,4.01,441,0.10000000000000053,True,0.0,53.300000000000004,0.23,34.64,False
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5162507-Reviews-The_Blackburne_Gastropub_Hotel-Liverpool_Merseyside_England.html,3,2,16,4.0,4.1,600,-0.09999999999999964,False,12.5,1.7000000000000002,0.5,20.26,True
https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5244456-Reviews-Casa_Italia-Liverpool_Merseyside_England.html,2,0,18,3.85,3.92,200,-0.06999999999999984,False,0.0,53.300000000000004,1.0,6.21,False
