,URL,MaxPossibleScrapedReviews,RestaurantReviewActual,RatedExcellent,RatedVery_good,RatedAverage,RatedPoor,RatedTerrible
77,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1315174-Reviews-Elif-Liverpool_Merseyside_England.html,759,757,526,141,37,18,25
78,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d829195-Reviews-Maranto_s_Restaurant-Liverpool_Merseyside_England.html,575,570,307,162,48,32,21
79,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d9758180-r814271221-The_Club_House_L1_Bar_Restaurant-Liverpool_Merseyside_England.html,0,100,,,,,
80,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19527481-Reviews-Jimmy_s_Liverpool-Liverpool_Merseyside_England.html,188,188,166,10,7,3,2
81,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11546998-Reviews-Castle_St_Townhouse-Liverpool_Merseyside_England.html,472,478,299,72,41,23,33
82,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d15701391-Reviews-The_Turkish_BBQ_prev_Med_Kitchen_Brom-Bromborough_Wirral_Merseyside_England.html,224,223,185,16,4,8,10
83,https://www.tripadvisor.co.uk/ShowUserReviews-g2139048-d1599554-r828633539-Cowshed_Restaurant-Raby_Wirral_Merseyside_England.html,412,210,,,,,
84,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d8278640-Reviews-Noya_Restaurant-Birkenhead_Wirral_Merseyside_England.html,733,731,643,57,13,11,7
85,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d1205012-r828641037-Etsu_Japanese_Restaurant-Liverpool_Merseyside_England.html,0,100,,,,,
86,https://www.tripadvisor.co.uk/RegistrationController?flow=sign_up_and_save&returnTo=%2FRestaurantSearch-g2549600-a_geobroaden.true-Bebington_Wirral_Merseyside_England.html&fullscreen=true&flowOrigin=login&hideNavigation=true&isLithium=true,0,0,,,,,
87,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d7112132-Reviews-Rumi_By_Bukhara-Liverpool_Merseyside_England.html,352,354,257,49,16,9,13
88,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8261888-Reviews-Mrs_Danvers_Bakery-Liverpool_Merseyside_England.html,170,167,140,14,8,3,2
89,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19330285-Reviews-Smoke_Dough-Liverpool_Merseyside_England.html,624,622,503,47,21,21,30
90,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d18980966-r835809449-Lu_Ban_Bar_and_Restaurant-Liverpool_Merseyside_England.html,324,165,,,,,
91,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d18719875-Reviews-Slim_s-Liverpool_Merseyside_England.html,305,303,241,20,18,12,12
92,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12728441-Reviews-Petit_Cafe_Du_Coin-Liverpool_Merseyside_England.html,114,119,88,17,1,1,2
93,https://www.tripadvisor.co.uk/Restaurant_Review-g209958-d3562780-Reviews-Strummers-Birkenhead_Wirral_Merseyside_England.html,68,68,65,1,2,0,0
94,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d1400946-Reviews-Las_Iguanas-Liverpool_Merseyside_England.html,0,200,996,384,167,73,76
95,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d9758180-Reviews-The_Club_House_L1_Bar_Restaurant-Liverpool_Merseyside_England.html,0,200,700,249,133,104,88
96,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d794637-Reviews-Bistro_Pierre-Liverpool_Merseyside_England.html,0,200,733,341,103,56,61
